Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
XXII,"22nd Century Group, Inc",2.12,266407544.32,,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.22,1047862346.86,,1986.0,,,https://old.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,5.06,115076169.56,,,,,https://old.nasdaq.com/symbol/iaf,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.96,353232374.88,,,,,https://old.nasdaq.com/symbol/aef,
FCO,"Aberdeen Global Income Fund, Inc.",7.83,68315097.87,,1992.0,,,https://old.nasdaq.com/symbol/fco,
ACU,Acme United Corporation.,20.08,67310770.4,,1988.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu,
ATNM,"Actinium Pharmaceuticals, Inc.",0.2126,34531682.56,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm,
AE,"Adams Resources & Energy, Inc.",29.7,125737533.9,,,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae,
ACY,AeroCentury Corp.,5.6785,8778302.294,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy,
UAVS,"AgEagle Aerial Systems, Inc.",0.35,5311037.9,,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs,
AGE,"AgeX Therapeutics, Inc.",1.63,61336900.0,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age,
AIRI,Air Industries Group,1.2,34738099.2,,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi,
AXU,Alexco Resource Corp,1.73,204373555.19,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu,
ALO,Alio Gold Inc.,0.61,51671357.23,,2011.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/alo,
AAU,"Almaden Minerals, Ltd.",0.6911,77214335.5009,,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau,
APT,"Alpha Pro Tech, Ltd.",3.53,46309536.97,,,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt,
AAMC,Altisource Asset Management Corp,10.7201,17052881.1539,,,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc,
AMBO,Ambow Education Holding Ltd.,1.5,32634334.5,,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo,
DIT,AMCON Distributing Company,76.255,45201447.585,,,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit,
AMS,American Shared Hospital Services,2.47,14365520.0,,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams,
USAS,Americas Gold and Silver Corporation,2.9,239272135.7,,2017.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas,
AMPE,"Ampio Pharmaceuticals, Inc.",0.4705,66908799.071,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe,
ARNC^,Arconic Inc.,89.0,0.0,,,,,https://old.nasdaq.com/symbol/arnc^,
ARMP,"Armata Pharmaceuticals, Inc.",3.75,37344547.5,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/armp,
AKG,Asanko Gold Inc.,1.0002,225849774.9228,,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/akg,
AINC,Ashford Inc.,27.59,72117059.56,,2014.0,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ainc,
AUG,Auryn Resources Inc.,1.2,114218880.0,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aug,
AWX,Avalon Holdings Corporation,2.1744,8426737.1664,,,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/awx,
ASM,Avino Silver,0.5658,43016149.5882,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/asm,
