Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
TXG,"10x Genomics, Inc.",50.36,4801808877.6,,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
YI,"111, Inc.",4.91,92137460.97,18765267.0,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",4.7,28259990.8,,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.590999999999998,17913700.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.07,64421633.34,,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",14.49,935299230.39,,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.62,46913632.74,,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow,
FCCY,1st Constitution Bancorp (NJ),19.01,164515790.71,,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,45.23,1154957638.76,,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.49,468124468.21,62499929.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",16.43,1040592259.13,,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",8.6,356680897.8,41474523.0,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",75.21,2966495319.51,39442831.0,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
JFK,8i Enterprises Acquisition Corp,9.98,74126450.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.402,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.62,53100000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.42,2415000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,20.18,2003621911.44,,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
JFU,9F Inc.,12.1,107690000.0,8900000.0,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu,
AAON,"AAON, Inc.",44.95,2342212032.35,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,2.38,117371487.38,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,0.21,0.0,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,0.4706,3783182.1066,,2014.0,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",164.43,7461292918.59,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,0.4093,68947428.158,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,5.02,339162911.66,,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",65.55,2692781873.25,,2016.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,2.54,127337492.34,,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg,
