Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
DDD,3D Systems Corporation,7.76,916861622.96,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd,
MMM,3M Company,153.52,88316839756.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,11.46,492496594.2,,2013.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,48.79,7253875790.98,,2013.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wuba,
EGHT,8x8 Inc,20.18,2003621911.44,,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
AHC,A.H. Belo Corporation,3.62,77698423.86,,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc,
AOS,A.O Smith Corporation,45.13,7419526209.21,,,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos,
ATEN,"A10 Networks, Inc.",6.6,505263620.4,,2014.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten,
AAC,"AAC Holdings, Inc.",0.66,16644833.7,,2014.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aac,
AIR,AAR Corp.,41.13,1438329097.08,,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",61.88,4179839114.36,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
ABB,ABB Ltd,18.11,38625414768.71,,,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,81.04,143229902719.6,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,74.33,109895703678.54,,2012.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,14.31,899528846.67,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf,
AGD,Aberdeen Global Dynamic Dividend Fund,9.5,119221019.5,,2006.0,,,https://old.nasdaq.com/symbol/agd,
AWP,Aberdeen Global Premier Properties Fund,6.22,531237455.22,,2007.0,,,https://old.nasdaq.com/symbol/awp,
ACP,Aberdeen Income Credit Strategies Fund,11.96,156365901.12,,2011.0,,,https://old.nasdaq.com/symbol/acp,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.26,97326775.92,,1992.0,,,https://old.nasdaq.com/symbol/jeq,
AOD,Aberdeen Total Dynamic Dividend Fund,8.22,867053803.56,,2007.0,,,https://old.nasdaq.com/symbol/aod,
ABM,ABM Industries Incorporated,34.51,2291999043.04,,,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,28.93,2443223698.85,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr,
ACN,Accenture plc,186.81,118979289000.0,,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,9.58,937936931.72,,,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco,
ATV,"Acorn International, Inc.",18.97,48960811.2,,2007.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv,
EPAC,Actuant Corporation,21.23,1304749752.13,,,,,https://old.nasdaq.com/symbol/epac,
AYI,"Acuity Brands, Inc. ",119.47,4766742609.72,,,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,26.14,1970060103.78,,2016.0,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf,
ADX,"Adams Diversified Equity Fund, Inc.",15.73,1661951466.89,,,,,https://old.nasdaq.com/symbol/adx,
PEO,"Adams Natural Resources Fund, Inc.",15.2,448594043.2,,,,,https://old.nasdaq.com/symbol/peo,
